ticker,code,market,name,avg_value_krw,last_close,n_days
081660.KS,81660,KOSPI,미스토홀딩스,6411684947,39800,24
192080.KS,192080,KOSPI,더블유게임즈,6328900550,60300,24
007070.KS,7070,KOSPI,GS리테일,6262610383,27950,24
005420.KS,5420,KOSPI,코스모화학,6170819485,14210,24
298050.KS,298050,KOSPI,HS효성첨단소재,5899518875,220000,24
112040.KQ,112040,KOSDAQ,위메이드,5560675119,19830,24
005250.KS,5250,KOSPI,녹십자홀딩스,5516974068,15430,24
302440.KS,302440,KOSPI,SK바이오사이언스,5413497970,40250,24
001800.KS,1800,KOSPI,오리온홀딩스,4923888322,25800,24
012750.KS,12750,KOSPI,에스원,4805114445,72700,24
073240.KS,73240,KOSPI,금호타이어,4757598495,4915,24
069620.KS,69620,KOSPI,대웅제약,4554888987,131200,24
009970.KS,9970,KOSPI,영원무역홀딩스,4405526604,196400,24
114090.KS,114090,KOSPI,GKL,4196686461,11830,24
086900.KQ,86900,KOSDAQ,메디톡스,4142976975,98300,24
069260.KS,69260,KOSPI,TKG휴켐스,4061768681,17580,24
002790.KS,2790,KOSPI,아모레퍼시픽홀딩스,3972735172,24350,24
008930.KS,8930,KOSPI,한미사이언스,3879474316,32700,24
272580.KS,272580,KOSPI,"Empty DataFrame
Columns: []
Index: []",3745018342,56650,24
004490.KS,4490,KOSPI,세방전지,3332448845,59200,24
000240.KS,240,KOSPI,한국앤컴퍼니,3275958772,24100,24
009240.KS,9240,KOSPI,한샘,3096344068,33500,24
148070.KS,148070,KOSPI,"Empty DataFrame
Columns: []
Index: []",3028821720,103760,24
